CLAVEGEO,"UBICACIÓN TÉCNICA",DENOMINACIÓN,SERVICIO,"ÊLTIMO ESTADO REPORTADO",ORIGEN,DESTINO,"DIÁMETRO EXTERNO (PLG) ","TIPO DE TUBERÍA","TIPO DE HIDROCARBURO","LONGITUD (KM)"
CGD0005088,PEP-SUR-MUS-CAS-D01-LDD-L0612,"LDD P AGAVE 612-BAT AGAVE 10""X2.957 km","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO AGAVE 612","BATERIA DE SEPARACION AGAVE",10,"ACERO AL CARBON","ACEITE Y GAS",2.957
CGD0008390,PEP-NTE-BUR-CUE-541-LDD-L0634,"LDD STA ROSA634-I STA ROSA633 3""X1.116KM","LINEA DE DESCARGA",OPERANDO,"POZO STA. ROSALIA 634","INT STA ROSALIA 633 (E ROSA 3)",3,"ACERO AL CARBON","DULCE HUMEDO",1.116
CGD0019378,PEP-NTE-BUR-PBA-507-LDD-L0224,"LDD P ABCA 224-ERG P ABCA 2 3"" X1.644 KM","LINEA DE DESCARGA",OPERANDO,"POZO PE?A BLANCA 224","ERG PE?A BLANCA 2",3,"ACERO AL CARBON","DULCE HUMEDO",1.644
CGD0010118,PEP-NTE-PRA-EPC-014-LDD-LH005,"LDD P HERRADU 5D-EST B VISTA 4""X1.450KM","LINEA DE DESCARGA",OPERANDO,"POZO HERRADURA 5D","ESTACION BUENA VISTA",4,"FIBRA DE VIDRIO","ACEITE Y GAS",1.45
CGD0000456,PEP-SDC-GSR-AGD-F53-GDO-D0347,"GDO CSTA OTATES-JV C OTATES 6""X1.012 km",GASODUCTO,OPERANDO,"GDO 24"" CPM CASETA OTATES","JUEGO VALVULAS COMP. OTATES",6,"ACERO AL CARBON",SECO,1.012
CGD0001047,PEP-SUR-BLJ-JTE-C77-OLG-DJU02,"OLG CAB JUJO 4-BAT JUJO 8""X0.739 km",OLEOGASODUCTO,OPERANDO,"CABEZAL PERIFERICO JUJO 4","BATERIA JUJO",8,"ACERO AL CARBON","ACEITE Y GAS",0.739
CGD0000374,PEP-SDC-GNE-KUA-P61-OLD-D0038,"OLD KUI-P - AKJ-E D038 24""  X 0.719KM",OLEODUCTO,"FUERA DE OPERACION DEFINITIVA","KU-I (PERFORACION)","AKAL-J ENLACE SECCIONADO",24,"ACERO AL CARBON","NO APLICA",0.719
CGD0004295,PEP-SUR-CPT-MOG-A33-LBN-D5940,"LBN RBN 6"" P OGA 42-P OGA 70 4""X0.600 km","LINEA DE BOMBEO NEUMATICO","FUERA DE OPERACION DEFINITIVA","RBN 6"" POZO 0042","POZO OGARRIO 70",4,"ACERO AL CARBON","GAS DULCE",0.6
CGD0001172,PEP-SUR-CPT-CUM-A30-LDD-L0713,"LDD P MOL 0713-CAB P MOL 106A 3""X0.539km","LINEA DE DESCARGA",OPERANDO,"POZO MOLOACAN 0713","CABEZAL POZO MOLOACAN 106A",3,"ACERO AL CARBON","ACEITE Y GAS",0.539
CGD0008934,PEP-NTE-BUR-TOR-620-LDD-L0001,"LDD CARONTE 1-I COMITAS 60 3""X10.530KM","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO CARONTE 1","INT. COMITAS 60 (E. COMITAS 1)",3,"ACERO AL CARBON","DULCE HUMEDO",10.53
CGD0008989,PEP-NTE-BUR-CUE-552-LDD-L1010,"LDD  TOPO 1010 - E TOPO 2 3""X1.848 KM","LINEA DE DESCARGA",OPERANDO,"POZO TOPO 1010","EST. TOPO 2",3,"ACERO AL CARBON","DULCE HUMEDO",1.848
CGD0001835,PEP-SUR-SML-SAM-D54-LBN-D1028,"LBN INT P SAM 17-P SAM 17 2""X0.180 km","LINEA DE BOMBEO NEUMATICO","FUERA DE OPERACION DEFINITIVA","INT. POZO SAMARIA 17","POZO SAMARIA 17",2,"ACERO AL CARBON",SECO,0.18
CGD0006300,PEP-NTE-BUR-PBA-416-LDD-L0215,"LDD BENAVIDES 215-E BENAV 1 3""X4.955KM","LINEA DE DESCARGA","FUERA DE OPERACION TEMPORAL","POZO BENAVIDES 215","EST. BENAVIDES 1",3,"ACERO AL CARBON","DULCE SECO",4.955
CGD0006244,PEP-NTE-BUR-CUL-445-LDD-L0279,"LDD CULEBRA 279 - E CULEBRA 9 3""X4.013KM","LINEA DE DESCARGA","FUERA DE OPERACION TEMPORAL","POZO CULEBRA 279","EST. CULEBRA 9",3,"ACERO AL CARBON","DULCE HUMEDO",4.013
CGD0006442,PEP-NTE-BUR-CUE-487-LDD-L0502,"LDD MOJARRE?AS 502-E MOJ 1 2""X1.397 KM","LINEA DE DESCARGA",OPERANDO,"POZO MOJARRE?AS 502","EST. MOJARRE?AS 1",2,"ACERO AL CARBON","DULCE HUMEDO",1.397
CGD0007525,PEP-NTE-BUR-LMA-474-LDD-L0080,"LDD JAUJAL 80- E VELERO 2   3""X2.889 KM","LINEA DE DESCARGA","FUERA DE OPERACION TEMPORAL","POZO JAUJAL 80","EST. VELERO 2",3,"ACERO AL CARBON","DULCE HUMEDO",2.889
CGD0000262,PEP-SDC-GNT-VER-750-GDO-D0008,"GDO PTA SP-RP-INJ GDO 30 CDP 8""X2.886 KM",GASODUCTO,OPERANDO,"PLANTA END. SAN PABLO RP","INJ GDO 30""  CDPEMEX-VTA CARPI",8,"ACERO AL CARBON","DULCE SECO",2.886
CGD0015898,PEP-NTE-BUR-CUL-408-LDD-L0565,"LDD ARCABUZ 565-E ARCABUZ 6 3"" X1.660 KM","LINEA DE DESCARGA",OPERANDO,"POZO ARCABUZ 565","EST. ARCABUZ 6",3,"ACERO AL CARBON","DULCE SECO",1.66
CGD0010993,PEP-NTE-ATG-SLD-113-LDD-L0106,"LDD P SOL 106-MOD IV SOL 3"" x1.190KM","LINEA DE DESCARGA",OPERANDO,"POZO SOLEDAD 106","MODULO IV SOLEDAD NORTE",4,"ACERO AL CARBON",SECO,1.19
CGD0002506,PEP-SUR-BLJ-GPC-B57-LDD-L031D,"LDD P SAN 31D-BAT SAN 3""X2.400 km","LINEA DE DESCARGA",OPERANDO,"POZO SANTUARIO 31D","BATERIA SANTUARIO",3,"ACERO AL CARBON","ACEITE Y GAS",2.4
CGD0001942,PEP-SUR-CPT-BCN-A58-LDD-L0012,"LDD P GUA 12 - CAB GUA 01 4""X0.067 km","LINEA DE DESCARGA",OPERANDO,"POZO GUARICHO 0012","CABEZAL DEL POZO GUA 0001",4,"ACERO AL CARBON","ACEITE Y GAS",0.067
CGD0006546,PEP-NTE-BUR-CUL-445-LDD-L0693,"LDD CULEBRA 693-E CULEBRA 4  3""X1.625KM","LINEA DE DESCARGA","FUERA DE OPERACION TEMPORAL","POZO CULEBRA 693","EST. CULEBRA 4",3,"ACERO AL CARBON","DULCE HUMEDO",1.625
CGD0011752,PEP-NTE-PRA-TAC-020-LDD-LT156,"LDD P TAMPS 156-BSE 7 TAMPS 4""X0.595Km","LINEA DE DESCARGA",OPERANDO,"POZO TAMAULIPAS 156","BATERIA 7 TAMAULIPAS",4,"ACERO AL CARBON","ACEITE Y GAS",0.595
CGD0000083,PEP-SDC-GNE-AKJ-P01-GDO-D0201,"GDO INT-D215 - KZTA-P D201 12""  X1.573KM",GASODUCTO,OPERANDO,"INT D-215 (INT D-156 / AK-L)","KUTZ-TA (PERFORACION)",12,"ACERO AL CARBON","BOMBEO NEUMATICO",1.573
CGD0007258,PEP-NTE-BUR-CUE-539-LDD-L0241,"LDD STA ANITA241-E STA ANITA 1 3X1.749KM","LINEA DE DESCARGA",OPERANDO,"POZO STA. ANITA 241","EST. SANTA ANITA 1",3,"ACERO AL CARBON","DULCE HUMEDO",1.749
CGD0007188,PEP-NTE-BUR-CUE-510-LDD-L0203,"LDD PICADILLO 203-E PICADI 1 3""X3.345 KM","LINEA DE DESCARGA",OPERANDO,"POZO PICADILLO 203","EST. PICADILLO 1",3,"ACERO AL CARBON","DULCE HUMEDO",3.345
CGD0014093,PEP-NTE-ATG-SLD-246-LDD-L0040,"LDD P MIQ 40-BSE MIQ I 4"" x0.808KM","LINEA DE DESCARGA",OPERANDO,"POZO MIQUETLA 40","BSE MIQUETLA I",4,"ACERO AL CARBON","ACEITE Y GAS",0.808
CGD0005833,PEP-NTE-ATG-AGF-175-OLG-D0849,"OLG MP AF 847-BSE ANT 4"" x1.635 KM",OLEOGASODUCTO,OPERANDO,"MP AGUA FRIA 847","BSE ANTARES",4,"ACERO AL CARBON","ACEITE PESADO",1.635
CGD0001146,PEP-SUR-MUS-CSG-D55-ACD-D1542,"ACD BAT SITI GDE-ENT SITI GDE 8""X4.480km",ACUEDUCTO,"FUERA DE OPERACION DEFINITIVA","BATERIA SITIO GRANDE","ENTRONQUE SITIO GRANDE",8,"ACERO AL CARBON","AGUA DE SERVICIO",4.48
CGD0004169,PEP-SUR-CPT-MOG-A47-LDD-L0926,"LDD P SMAG 0926-CAB SMAG 932 3""X1.443 km","LINEA DE DESCARGA",OPERANDO,"POZO S MAGALLANES 0926","CAB. SANCHEZ MAGALLANES 932",3,"ACERO AL CARBON",ISTMO,1.443
CGD0000155,PEP-SDC-GNE-AKB-P01-NO2-D0237,"NO2 INT-D181 - AKMB D237 12""  X 0.556KM",NITROGENODUCTO,OPERANDO,"INT D-181 (MEDIA LUNA NORTE)","AKAL-MB (PERFORACION)",12,"ACERO AL CARBON","NO APLICA",0.556
CGD0014515,PEP-NTE-PRA-POZ-270-OLG-D1728,"OLG K REC PR I-BSE PR V 4""x2.600KM",OLEOGASODUCTO,OPERANDO,"K REC POZA RICA I","BSE POZA RICA V",4,"ACERO AL CARBON",POZOLEO,2.6
CGD0002667,PEP-SUR-MAC-JCO-C13-LDD-L0109,"LDD P FORT NAC109-ER F NAC  4""X 0.364 km","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO FORTUNA NACIONAL 109","EST. REC. FORTUNA NACIONAL",4,"ACERO AL CARBON","ACEITE Y GAS",0.364
CGD0002293,PEP-SUR-CPT-BCN-A33-LBN-D0824,"LBN RAM 2"" RBN 3""-P OGA 824 2""X0.085 km","LINEA DE BOMBEO NEUMATICO","FUERA DE OPERACION TEMPORAL","RAMAL 2"" EN RBN 3""","POZO OGARRIO 0824",2,"ACERO AL CARBON","DULCE HUMEDO",0.085
CGD0000560,PEP-SDC-GSR-SSG-F54-OLD-D0009,"OLD TDE C.A.B.CUND-TDR SAM II 24""X7.285k",OLEODUCTO,OPERANDO,"TDE CAB CUNDUACAN","TDR SAMARIA II",24,"ACERO AL CARBON",OLMECA,19
CGD0011528,PEP-NTE-PRA-TAC-020-LDD-LT018,"LDD P TAMPS 18-BSE 1 TAMPS 4""X1.000Km","LINEA DE DESCARGA",OPERANDO,"POZO TAMAULIPAS 18","BATERIA 1 TAMAULIPAS",4,"FIBRA DE VIDRIO","ACEITE Y GAS",1
CGD0015431,PEP-NTE-PRA-POZ-270-GDO-D3050,"GDO AREA COCA C-CPG 18""x0.802KM",GASODUCTO,OPERANDO,"AREA COCA COLA",C.P.G.,18,"ACERO AL CARBON","GAS DULCE",0.802
CGD0008959,PEP-NTE-BUR-RFC-602-LDD-L0011,"LDD ITA 11 - E PIPILA 1 3"" X2.176 KM","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO ITA 11","EST. PIPILA 1",3,"ACERO AL CARBON","DULCE HUMEDO",2.176
CGD0010327,PEP-NTE-PRA-FOC-088-LDD-L0141,"LDD P JF 141-BSE SUR          3""X0.935KM","LINEA DE DESCARGA",OPERANDO,"POZO JUAN FELIPE 141","BATERIA SUR",2,"ACERO AL CARBON","ACEITE PESADO",0.935
CGD0008553,PEP-NTE-BUR-LMA-560-LDD-L2099,"LDD VELERO 2099-MD VELERO2119 3""X0.841KM","LINEA DE DESCARGA",OPERANDO,"POZO VELERO 2099","MOD VELERO 2119 (E VELERO 2)",3,"ACERO AL CARBON","DULCE SECO",0.841
CGD0018357,PEP-NTE-BUR-CUE-461-LDD-L1010,"LDD FRONTERIZO1010-EST FRONT1 3""X3.314KM","LINEA DE DESCARGA",OPERANDO,"POZO FRONTERIZO 1010","EST. FRONTERIZO 1",3,"ACERO AL CARBON","DULCE HUMEDO",3.314
CGD0007183,PEP-NTE-BUR-CUL-445-LDD-L0711,"LDD CULEBRA 711 -E CULEBRA 6 2""X4.122KM","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO CULEBRA 711","EST. CULEBRA 6",2,"ACERO AL CARBON","DULCE SECO",4.122
CGD0007302,PEP-NTE-BUR-CUE-487-LDD-L0519,"LDD MOJARRE?AS 519-E MOJ 4 3""X 5.542 KM","LINEA DE DESCARGA",OPERANDO,"POZO MOJARRE?AS 519","EST. MOJARRE?AS 4",3,"ACERO AL CARBON","DULCE HUMEDO",5.542
CGD0000320,PEP-SDC-GNE-NHA-P04-NO2-D9313,"NO2 INL93 - AK R D93.13  8""   X 2.503 KM",NITROGENODUCTO,OPERANDO,"INT D-093 (ABN)","AKAL-R (PERFORACION)",8,"ACERO AL CARBON","GAS DULCE",2.503
CGD0009193,PEP-NTE-BUR-TOR-437-LDD-L0048,"LDD COMITAS 48-E COMITAS 1 3""X3.460KM","LINEA DE DESCARGA",OPERANDO,"POZO COMITAS 48","EST. COMITAS 1",3,"ACERO AL CARBON","DULCE HUMEDO",3.46
CGD0014077,PEP-NTE-ATG-SLD-246-LDD-L0024,"LDD P MIQ 24-BSE MIQ I 4"" x1.887KM","LINEA DE DESCARGA",OPERANDO,"POZO MIQUETLA 24","BSE MIQUETLA I",4,"ACERO AL CARBON","ACEITE Y GAS",1.887
CGD0000572,PEP-SUR-MUS-CAS-D02-LDD-L0003,"LDD P ARTESA 03 - BAT ARTESA 6""X1.572 km","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO ARTESA 03","BATERIA ARTESA",6,"ACERO AL CARBON","ACEITE Y GAS",1.572
CGD0002174,PEP-SUR-CPT-MOG-A46-LDD-L0515,"LDD P SNR 515 - CAB SNR 43 3""X0.397 km","LINEA DE DESCARGA",OPERANDO,"POZO SAN RAMON 515","CABEZAL POZO S RAMON 43",3,"ACERO AL CARBON","ACEITE Y GAS",0.397
CGD0018863,PEP-NTE-BUR-PBA-507-LDD-L0245,"LDD PE?ABCA245-INT CULEBRA413 3""X1.079KM","LINEA DE DESCARGA",OPERANDO,"POZO PE?A BLANCA 245","INT. LDD CULEBRA 413",3,"ACERO AL CARBON","DULCE HUMEDO",1.079
CGD0003120,PEP-SUR-CPT-CPB-A09-LDD-L0155,"LDD P 5PTES 0155-BAT 5PTES 1 3""X0.594 km","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO 5 PTES 0155","BATERIA 5 PTES 0001",3,"ACERO AL CARBON",ISTMO,0.594
CGD0017033,PEP-NTE-VER-EPY-731-GDO-D0051,"GDO P MADERAC51-PRG MADERAC 1 6 x7.460Km",GASODUCTO,OPERANDO,"POZO MADERACEO 51","PRG MADERACEO 1",6,"ACERO AL CARBON","AGUA CONGENITA",7.46
CGD0010484,PEP-NTE-PRA-FOC-122-OLD-D0340,"OLD BSE JCASIANO-OLD 51/2""TEPET 4""X2.0KM",OLEODUCTO,OPERANDO,"BAT. JUAN CASIANO","OLD. 5 1/2"" TEPETATE-OLD 3HNOS",4,"ACERO AL CARBON","ACEITE PESADO",2
CGD0018928,PEP-SUR-BLJ-CAR-B45-OLD-DC005,"OLD BAT CRD NTE - NUD CRD 16""X7.545 km",OLEODUCTO,OPERANDO,"BATERIA CARDENAS NORTE","NUDO CARDENAS",16,"ACERO AL CARBON",ACEITE,7.545
CGD0009716,PEP-NTE-PRA-EPC-006-LDD-LCH34,"LDD P CHAPACAO 34DC-E MENDE 2 8""X0.840KM","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO CHAPACAO 34DC","ESTACION MENDEZ 2",8,"ACERO AL CARBON","ACEITE Y GAS",0.84
CGD0004872,PEP-SUR-BLJ-JTE-C77-LDD-L02A2,"LDD P JUJO 2(R-2 )-BAT JUJO 10""X0.641 km","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO JUJO 2 (R-2)","BATERIA JUJO",10,"ACERO AL CARBON","ACEITE Y GAS",0.641
CGD0011750,PEP-NTE-PRA-TAC-020-LDD-LT150,"LDD P TAMPS 150-BSE 7 TAMPS 4""X0.538 KM","LINEA DE DESCARGA",OPERANDO,"POZO TAMAULIPAS 150","BATERIA 7 TAMAULIPAS",4,"ACERO AL CARBON","ACEITE PESADO",0.538
CGD0016236,PEP-NTE-BUR-TOR-444-LDD-L0533,"LDD CUITLAHUAC 533-MD CUIT530 3""X0.100KM","LINEA DE DESCARGA",OPERANDO,"POZO CUITLAHUAC 533","MOD. CUITLAHUAC 530(E CUIT 5)",3,"ACERO AL CARBON","DULCE HUMEDO",0.1
CGD0001293,PEP-SUR-CPT-BCN-A33-LDD-L0716,"LDD P OGA 716-CAB P OGA 0827 3""X2.366 km","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO OGARRIO 0716","CABEZAL DEL POZO OGA 0827",3,"ACERO AL CARBON",ISTMO,2.366
CGD0007589,PEP-NTE-BUR-PBA-416-LDD-L0104,"LDD BENAVIDES 104-I BENAV 18 3"" X2.562KM","LINEA DE DESCARGA","FUERA DE OPERACION TEMPORAL","POZO BENAVIDES 104","INT BENAVIDES 18 (E BENAV 1)",3,"ACERO AL CARBON","DULCE SECO",2.562
CGD0008281,PEP-NTE-BUR-RFC-586-LDD-L002D,"LDD FUNDADOR 2D-E FUNDADOR 1 3"" X2.404KM","LINEA DE DESCARGA",OPERANDO,"POZO FUNDADOR 2D","EST. FUNDADOR 1",3,"ACERO AL CARBON","DULCE HUMEDO",2.404
CGD0016266,PEP-NTE-BUR-LMA-409-LDD-LS057,"LDD ARCOS 57 - E ARCOS 1 2"" X 1.550 KM","LINEA DE DESCARGA",OPERANDO,"POZO ARCOS 57","EST. ARCOS 1",2,"ACERO AL CARBON","DULCE SECO",1.55
CGD0011756,PEP-NTE-PRA-TAC-020-LDD-LT166,"LDD P TAMP 166-COL P TAMP 232 4""X0.035KM","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO TAMAULIPAS 166","COLECTOR POZO TAMAULIPAS 232",4,"ACERO AL CARBON","ACEITE Y GAS",0.035
CGD0009204,PEP-NTE-BUR-CUL-408-LDD-L0356,"LDD ARCABUZ 356-M ARCABUZ 352 3""X0.880KM","LINEA DE DESCARGA",OPERANDO,"POZO  ARCABUZ 356","MOD. ARCABUZ 352 (E ARCABUZ 5)",3,"ACERO AL CARBON","DULCE HUMEDO",0.88
CGD0002704,PEP-SUR-MAC-USU-C16-LDD-L059S,"LDD P HORMIGUERO 59S-ER HOR 4""X 1.100 km","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO HORMIGUERO 59S","EST REC HORMIGUERO",4,"ACERO AL CARBON","DULCE HUMEDO",1.1
CGD0014088,PEP-NTE-ATG-SLD-246-LDD-L0035,"LDD P MIQ 35-BSE MIQ I 4"" x0.562KM","LINEA DE DESCARGA",OPERANDO,"POZO MIQUETLA 35","BSE MIQUETLA I",4,"ACERO AL CARBON","ACEITE Y GAS",0.562
CGD0004711,PEP-SUR-CPT-MOG-A47-LIA-D4239,"LIA E05-P0124 A47 3""X0.400km","LINEA DE INYECCION DE AGUA","FUERA DE OPERACION DEFINITIVA","ESTACION 0005","POZO S MAGALLANES 0124",3,"ACERO AL CARBON","AGUA CONGENITA",0.4
CGD0015320,PEP-NTE-ATG-TAJ-282-LDD-L0335,"LDD P TAJ 335-BSE TAJ III 4"" x2.121KM","LINEA DE DESCARGA",OPERANDO,"POZO TAJIN 335","BSE TAJIN III",4,"ACERO AL CARBON","ACEITE PESADO",2.121
CGD0006627,PEP-NTE-BUR-CUE-433-LDD-L0118,"LDD CARRETAS 118-E CARRETAS 2 3""X4.332KM","LINEA DE DESCARGA",OPERANDO,"POZO CARRETAS 118","EST. CARRETAS 2",3,"ACERO AL CARBON","DULCE HUMEDO",4.332
CGD0015743,PEP-NTE-VER-BM1-712-LDD-L1040,"LDD P MATAP 1040-COL MATAP II 4 x2.342Km","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO MATAPIONCHE 1040","COL MATAPIONCHE II",4,"ACERO AL CARBON","NO APLICA",2.342
CGD0007781,PEP-NTE-BUR-TOR-553-LDD-L0188,"LDD TORRECILLAS 188-E TORR 1 3""X0.889KM","LINEA DE DESCARGA",OPERANDO,"POZO TORRECILLAS 188","EST. TORRECILLAS 1",3,"ACERO AL CARBON","DULCE HUMEDO",0.889
CGD0001073,PEP-SUR-SML-LUN-B05-LDD-L0034,"LDD P LUNA 34 - CAB LUNA 34 8""X0.147 km","LINEA DE DESCARGA",OPERANDO,"POZO LUNA 34","CABEZAL LUNA 34",8,"ACERO AL CARBON","ACEITE Y GAS",0.147
CGD0015441,PEP-NTE-PRA-SNA-274-GDO-D0489,"GDO BSE SA II-COMP SA 20""x3.444KM",GASODUCTO,OPERANDO,"BSE SAN ANDRES II","EC SAN ANDRES",20,"ACERO AL CARBON","GAS AMARGO",3.444
CGD0013203,PEP-NTE-BUR-CUE-541-LDD-L034T,"LDD STA ROSA 34T-I STA ROSA12 3""X1.376KM","LINEA DE DESCARGA",OPERANDO,"POZO STA ROSALIA 34T","INT STA ROSA 12 (E STA ROSA1)",3,"ACERO AL CARBON","DULCE HUMEDO",1.376
CGD0004961,PEP-SUR-BLJ-JTE-C78-OLG-D0349,"OLG CAB PAR 301-BAT PAR 16""X5.215 km",OLEOGASODUCTO,"FUERA DE OPERACION DEFINITIVA","CABEZAL PERIFERICO PAREDON 301","BATERIA PAREDON",16,"ACERO AL CARBON","ACEITE Y GAS",5.215
CGD0007851,PEP-NTE-BUR-TOR-444-LDD-L0828,"LDD CUITL 828-E CUITLAHUAC 7  3""X3.811KM","LINEA DE DESCARGA","FUERA DE OPERACION TEMPORAL","POZO CUITLAHUAC 828","EST. CUITLAHUAC 7",3,"ACERO AL CARBON","DULCE HUMEDO",3.811
CGD0002334,PEP-SUR-BLJ-BCH-B43-OLG-D0009,"OLG BAT BLL 114-BAT BLL 10""X7.342 km",OLEOGASODUCTO,OPERANDO,"BATERIA BELLOTA 114","BATERIA BELLOTA",10,"ACERO AL CARBON",ACEITE,7.342
CGD0007073,PEP-NTE-BUR-RFC-384-LDD-L0002,"LDD KRIPTON 2 - E SULTAN 1  3""X 4.584 KM","LINEA DE DESCARGA",OPERANDO,"POZO KRIPTON 2","EST. SULTAN 1",3,"ACERO AL CARBON","DULCE HUMEDO",4.584
CGD0017086,PEP-SUR-CPT-BCN-A58-LDD-L0008,"LDD P GUA 08 - CAB GUA 01 4""X2.906 km","LINEA DE DESCARGA","FUERA DE OPERACION TEMPORAL","POZO GUARICHO 08","CABEZAL GUARICHO 01",4,"ACERO AL CARBON","ACEITE Y GAS",2.906
CGD0000428,PEP-SDC-GNT-PRA-750-OLD-D9430,"OLD CAB TAMPS-R MAD10""x22.500km F/O DEFI",OLEODUCTO,"FUERA DE OPERACION DEFINITIVA","CAB TAMAULIPAS","REFINERIA MADERO",10,"ACERO AL CARBON",ACEITE,22.5
CGD0016325,PEP-SUR-CPT-CUM-A25-LDD-L0311,"LDD P LAC 0311-CAB P LAC 008 3""X0.032 km","LINEA DE DESCARGA",OPERANDO,"POZO LACAMANGO 0311","CABEZAL P LACAMANGO 0008",3,"ACERO AL CARBON","ACEITE Y GAS",0.032
CGD0014426,PEP-NTE-PRA-POZ-270-LDD-L0198,"LDD P PR 198-BSE PR III 3""x0.985KM","LINEA DE DESCARGA",OPERANDO,"POZO POZA RICA 198","BSE POZA RICA III",3,"ACERO AL CARBON",POZOLEO,0.985
CGD0012615,PEP-NTE-BUR-PBA-521-LDD-L017T,"LDD PRIMAV 17T-E PRIMAVERA 2  2""X2.403KM","LINEA DE DESCARGA",OPERANDO,"POZO PRIMAVERA 17T","EST. PRIMAVERA 2",2,"ACERO AL CARBON","DULCE SECO",2.403
CGD0004786,PEP-SUR-CPT-MOG-A47-LIA-D4409,"LIA E10 - P0242 A47 3""X0.600km","LINEA DE INYECCION DE AGUA","FUERA DE OPERACION DEFINITIVA","ESTACION 0010","POZO S MAGALLANES 0242",3,"ACERO AL CARBON","AGUA CONGENITA",0.6
CGD0000268,PEP-SDC-GNE-AKC-P01-GDO-D0056,"GDO AKG-P - NHA-P2 D056 24""  X 5.456KM",GASODUCTO,OPERANDO,"AKAL-G (PERFORACION)","NOHOCH-A (PRODUCCION-2)",24,"ACERO AL CARBON","GAS AMARGO",5.456
CGD0004123,PEP-SUR-CPT-MOG-A47-LDD-L192D,"LDD P SMAG 192D-BAT SMAG 4 4""X0.840 km","LINEA DE DESCARGA","FUERA DE OPERACION TEMPORAL","POZO S MAGALLANES 192D","BATERIA S MAGALLANES 0004",4,"ACERO AL CARBON",TERCIARIO,0.84
CGD0004532,PEP-SUR-CPT-MOG-A47-LBN-D6025,"LBN INJ 2""RBN 4""0+560-P SM 50 2""X0.100km","LINEA DE BOMBEO NEUMATICO",OPERANDO,"INJ 2"" EN RBN 4"" KM 0+560","POZO S MAGALLANES 0050",2,"ACERO AL CARBON","GAS DULCE",0.1
CGD0011659,PEP-NTE-PRA-TAC-020-GDO-D9458,"GDO B 5 TAM-TCAL 1TAM/COMP 3 10""X0.803KM",GASODUCTO,OPERANDO,"BATERIA 5 TAMAULIPAS","TCAL 1 TAM/COMPRESORAS 3",10,"ACERO AL CARBON","GAS AMARGO",0.803
CGD0016277,PEP-NTE-BUR-RFC-586-LDD-LS001,"LDD FUNDADOR 1 -  E SIGMA 1  3""X1.355KM","LINEA DE DESCARGA",OPERANDO,"POZO FUNDADOR 1","EST. SIGMA 1",3,"ACERO AL CARBON","DULCE HUMEDO",1.355
CGD0018911,PEP-NTE-PRA-FOC-061-LDD-L0019,"LDD P AGUACT  19-BSE AGUACT   4""X0.224KM","LINEA DE DESCARGA",OPERANDO,"POZO AGUACATE 19","BATERIA AGUACATE",4,"ACERO AL CARBON","ACEITE PESADO",0.224
CGD0013865,PEP-NTE-PRA-FJO-237-LDD-L0035,"LDD P JILIAP 35-BSE JILIAP I 4""x1.070KM","LINEA DE DESCARGA",OPERANDO,"POZO JILIAPA 35","BSE JILIAPA I",4,"ACERO AL CARBON","ACEITE Y GAS",1.07
CGD0011773,PEP-NTE-PRA-TAC-020-LDD-LT246,"LDD P TAMP 246-COL P TAMP 232 4""X0.156KM","LINEA DE DESCARGA",OPERANDO,"POZO TAMAULIPAS 246","COLECTOR POZO TAMAULIPAS 232",4,"ACERO AL CARBON","ACEITE Y GAS",0.156
CGD0001248,PEP-SUR-CPT-MOG-A34-LBN-D0288,"LBN INJ 3"" RBN 6""GCPM 24""-P23 3""X0.520km","LINEA DE BOMBEO NEUMATICO","FUERA DE OPERACION TEMPORAL","INJ 3"" RBN 6"" GCPM 24""","POZO OTATES 0023",3,"ACERO AL CARBON","GAS DULCE",0.52
CGD0005101,PEP-SUR-MUS-CAS-D02-LDD-L0013,"LDD P ARTESA 13-BAT ARTESA 6""X1.453 km","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO ARTESA 13","BATERIA ARTESA",6,"ACERO AL CARBON","ACEITE Y GAS",1.453
CGD0018850,PEP-NTE-ATG-TAJ-200-GDO-D8262,"GDO BSE COAP IV-BSE COYU I 12"" x 8.923KM",GASODUCTO,OPERANDO,"BSE COAPECHACA IV","BSE COYULA I",12,"ACERO AL CARBON","DULCE HUMEDO",8.923
